2024-02-01 18:02:375 INFO  HomePage :32 - get the title of the page: 
2024-02-01 18:02:819 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (7971e93b948718f179cd1afb04ea3bd4)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-02-01 18:02:666 INFO  HomePage :44 - click on JoinNowTab: [[ChromeDriver: chrome on windows (7971e93b948718f179cd1afb04ea3bd4)] -> xpath: //a[normalize-space()='Join Now']]
2024-02-01 18:02:640 INFO  HomePage :32 - get the title of the page: 
2024-02-01 18:02:66 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-02-01 18:02:654 INFO  HomePage :59 - selectTopMenu: [[[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-02-01 18:02:94 INFO  OnlineSlotsPage :18 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (bde7fb167ca398342d059fd0266efffe)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
2024-02-01 19:02:599 INFO  HomePage :32 - get the title of the page: 
2024-02-01 19:02:199 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (ef9b60a50b5dd135156ea5141df0e64b)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-02-01 19:02:40 INFO  HomePage :44 - click on JoinNowTab: [[ChromeDriver: chrome on windows (ef9b60a50b5dd135156ea5141df0e64b)] -> xpath: //a[normalize-space()='Join Now']]
2024-02-01 19:02:75 INFO  HomePage :32 - get the title of the page: 
2024-02-01 19:02:72 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-02-01 19:02:661 INFO  HomePage :59 - selectTopMenu: [[[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-02-01 19:02:993 INFO  OnlineSlotsPage :18 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (ee350ecffa442e5b68de0311ba93cb92)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
2024-02-01 19:02:994 INFO  HomePage :32 - get the title of the page: 
2024-02-01 19:02:967 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (a6301954bb6954e894ff09d2938f79f7)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-02-01 19:02:815 INFO  HomePage :44 - click on JoinNowTab: [[ChromeDriver: chrome on windows (a6301954bb6954e894ff09d2938f79f7)] -> xpath: //a[normalize-space()='Join Now']]
2024-02-01 19:02:671 INFO  HomePage :32 - get the title of the page: 
2024-02-01 19:02:298 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (fd882c696faf25a502c3161f0e1c3556)] -> xpath: //label[normalize-space()='Necessary cookies only']]
